Wissenschaftlicher Name,Deutscher Name,Bewertung,,,,,,RL BW
Galeopsis tetrahit,Gewöhnlicher Hohlzahn,X,X,X,,,,*
Galium album,Weißes Wiesenlabkraut,,,,,X,,*
Galium mollugo agg.,Echtes Wiesenlabkraut,,,,,X,,*
Galium verum,Echtes Labkraut,,,,,,X,*
Genista sagittalis,Flügel-Ginster,,,,,,X,*
Geranium columbinum,Tauben-Storchschnabel,,,X,,,,*
Geranium dissectum,Schlitzblättriger Storchschnabel,,,X,,,,*
Geranium pratense,Wiesen-Storchschnabel,,,,,X,,*
Geranium sylvaticum,Wald-Storchschnabel,,,,,X,,*
Geum rivale,Bach-Nelkenwurz,,,,,,X,*
Geum urbanum,Echte Nelkenwurz,,X,X,,,,*
Glechoma hederacea,Gundelrebe,X,,,,,,*
Helianthemum nummularium subsp. obscurum,Gewöhnliches Sonnenröschen,,,,,,X,V
Helictotrichon pratense,Echter Wiesenhafer,,,,,,X,V
Helictotrichon pubescens,Flaumiger Wiesenhafer,,,,,,X,*
Heracleum sphondylium,Wiesen-Bärenklau,X,,,,X,,*
Hieracium pilosella,Kleines Habichtskraut,,,,,,X,*
Holcus lanatus,Wolliges Honiggras,,,,,X,,*
Holcus mollis,Weiches Honiggras,,X,X,,,,*
Hypericum perforatum,Echtes Johanniskraut,,X,,,,,*
Hypochaeris radicata,Gewöhnliches Ferkelkraut,,,,,X,,*
Knautia arvensis,Acker-Witwenblume,,,,,,X,*
Koeleria pyramidata,Pyramiden-Kammschmiele,,,,,,X,*
Lamium album,Weiße Taubnessel,X,,X,,,,*
Lathyrus linifolius,Berg-Platterbse,,,,,,X,*
Lathyrus nissolia,Gras-Platterbse,,,,,,X,2
Lathyrus pratensis,Wiesen-Platterbse,,,,,X,,*
Leontodon hispidus,Schweizer Löwenzahn,,,,,,X,V
Leucanthemum ircutianum,Wiesen-Margerite,,,,,,X,*
Leucanthemum vulgare,Frühe Margerite,,,,,,X,d
Leucanthemum vulgare agg.,Frühe Margerite,,,,,,X,d
Linaria vulgaris,Gewöhnliches Leinkraut,,X,X,,,,*
Linum catharticum,Purgier-Lein,,,,,,X,*
Listera ovata,Großes Zweiblatt,,,,,,X,*
Lolium multiflorum,Strandling,X,,,X,,,2
Lolium perenne,Ausdauernder Lolch,X,,,X,,,*
Lotus corniculatus,Gewöhnlicher Hornklee,,,,,,X,*
Lotus pedunculatus,Gelbe Spargelerbse,,,,,,X,3
Luzula campestris,Hasenbrot,,,,,,X,*
Luzula multiflora,Vielblütiges Hasenbrot,,,,,,X,*
Lychnis flos-cuculi,Kuckucks-Lichtnelke,,,,,,X,*
Lysimachia nummularia,Pfennigkraut,,,,,X,,*
Malva moschata,Moschus-Malve,,X,X,,,,*
Medicago falcata,Sichelklee,,,,,,X,*
Medicago lupulina,Hopfenklee,,,,,X,,*
Medicago sativa,Zwerg-Schneckenklee,,,,X,,,V
Meum athamanticum,Bärwurz,,,,,,X,V
Microthlaspi perfoliatum,Kies-Dünnschwingel,,,,,,X,0
Molinia caerulea,Blaues Pfeifengras,,,,,,X,*
Muscari botryoides,Kleine Traubenhyazinthe,,,,,,X,3
Muscari comosum,Schopfige Traubenhyazinthe,,,,,,X,3
Muscari neglectum,Übersehene Traubenhyazinthe,,,,,,X,3
Myosotis palustris,Hain-Vergißmeinnicht,,,,,,X,*
Narcissus radiiflorus,Stern-Narzisse,,,,,,X,2
Nardus stricta,Borstgras,,,,,,X,*
Noccaea caerulescens,Alpen-Kohlröschen,,,,,X,,0
Onobrychis viciifolia,Berg-Esparsette,,,,,,X,G
Ophioglossum vulgatum,Gewöhnliche Natternzunge,,,,,,X,3
Orchis mascula,Stattliches Knabenkraut,,,,,,X,V
Orchis militaris,Helm-Knabenkraut,,,,,,X,V
